Model_name	Symbol	Full Name	Short_description	sample_1	sample_2	value_1	value_2	log2(fold_change)	q_value
AT4G21926.1				GFP-BRC1	brc1 k.o.	0.734155	0.0933714	-2.97503	0.0307443
AT1G20120.1			GDSL-like Lipase/Acylhydrolase superfamily protein	GFP-BRC1	brc1 k.o.	0.979948	0.125693	-2.9628	0.000421383
AT1G64700.1				GFP-BRC1	brc1 k.o.	21.9915	2.92743	-2.90924	0.000421383
AT1G80160.2	GLYI7	glyoxylase I 7	Lactoylglutathione lyase / glyoxalase I family protein	GFP-BRC1	brc1 k.o.	1.46302	0.195059	-2.90696	0.030336
AT1G56170.1	ATHAP5B		nuclear factor Y, subunit C2	GFP-BRC1	brc1 k.o.	36.59965	4.951025	-2.886030713	0.000421383
AT1G32900.1	GBSS1	granule bound starch synthase 1	UDP-Glycosyltransferase superfamily protein	GFP-BRC1	brc1 k.o.	107.18	14.5699	-2.87898	0.000421383
AT2G33380.1	AtCLO3	Arabidopsis thaliana caleosin 3	Caleosin-related family protein	GFP-BRC1	brc1 k.o.	2.637245	0.3677675	-2.842165706	0.000421383
AT2G41231.1				GFP-BRC1	brc1 k.o.	80.83045	11.346355	-2.832669971	0.000421383
AT1G52855.1				GFP-BRC1	brc1 k.o.	6.39093	0.911915	-2.80905	0.000421383
AT3G20180.1			Copper transport protein family	GFP-BRC1	brc1 k.o.	2.71388	0.394852	-2.78098	0.0299354
AT1G69430.1				GFP-BRC1	brc1 k.o.	3.63803	0.531032	-2.77629	0.000421383
AT1G69260.1	AFP1	ABI five binding protein	ABI five binding protein	GFP-BRC1	brc1 k.o.	18.6179	2.77494	-2.74616	0.000421383
AT1G49310.1				GFP-BRC1	brc1 k.o.	214.461	32.0268	-2.74337	0.000421383
AT5G66780.1				GFP-BRC1	brc1 k.o.	5.62399	0.843972	-2.73633	0.000421383
AT3G03170.1				GFP-BRC1	brc1 k.o.	19.7953	2.97282	-2.73526	0.000421383
AT2G21820.1				GFP-BRC1	brc1 k.o.	4.85036	0.732596	-2.727	0.00245852
AT4G36740.1	ATHB40	homeobox protein 40	homeobox protein 40	GFP-BRC1	brc1 k.o.	3.19067	0.487859	-2.70932	0.000421383
AT5G52300.1	LTI65	LOW-TEMPERATURE-INDUCED 65	CAP160 protein	GFP-BRC1	brc1 k.o.	5.011295	0.772099	-2.698325718	0.000421383
AT5G10300.1	AtHNL		methyl esterase 5	GFP-BRC1	brc1 k.o.	25.5958	3.95438	-2.69438	0.000421383
AT1G80110.1	ATPP2-B11	phloem protein 2-B11	phloem protein 2-B11	GFP-BRC1	brc1 k.o.	22.4479	3.47486	-2.69155	0.000421383
AT1G73780.1			Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	GFP-BRC1	brc1 k.o.	27.7941	4.32881	-2.68273	0.000421383
AT5G07990.1	CYP75B1	CYTOCHROME P450 75B1	Cytochrome P450 superfamily protein	GFP-BRC1	brc1 k.o.	46.9173	7.31237	-2.68171	0.000421383
AT1G26945.1	KDR	KIDARI	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	GFP-BRC1	brc1 k.o.	64.0181	10.023	-2.67516	0.000421383
AT2G35950.1	EDA12	embryo sac development arrest 12	embryo sac development arrest 12	GFP-BRC1	brc1 k.o.	1.34106	0.209981	-2.67505	0.00115255
AT1G06180.1	ATMYB13	myb domain protein 13	myb domain protein 13	GFP-BRC1	brc1 k.o.	74.9021	11.9024	-2.65375	0.000421383
AT1G19970.1			ER lumen protein retaining receptor family protein	GFP-BRC1	brc1 k.o.	32.8461	5.30149	-2.63125	0.000421383
AT2G41230.1	ORS1	ORGAN SIZE RELATED 1		GFP-BRC1	brc1 k.o.	40.9991	6.67307	-2.61917	0.000421383
AT1G79110.1	BRG2	BOI-related gene 2	zinc ion binding	GFP-BRC1	brc1 k.o.	40.3015	6.70824	-2.586827326	0.000421383
AT1G03070.1	AtLFG4		Bax inhibitor-1 family protein	GFP-BRC1	brc1 k.o.	4.775795	0.817349	-2.546716779	0.000421383
AT5G65080.1	AGL68	AGAMOUS-like 68	K-box region and MADS-box transcription factor family protein 	GFP-BRC1	brc1 k.o.	2.32198	0.4014325	-2.532126219	0.000421383
AT4G21490.1	NDB3	NAD(P)H dehydrogenase B3	NAD(P)H dehydrogenase B3	GFP-BRC1	brc1 k.o.	1.44797	0.252444	-2.52	0.000421383
AT5G66700.1	ATHB53	ARABIDOPSIS THALIANA HOMEOBOX 53	homeobox 53	GFP-BRC1	brc1 k.o.	1.97221	0.344424	-2.51756	0.000421383
AT2G36307.1	ZPR4	LITTLE ZIPPER 4	ZPR4 (LITTLE ZIPPER 4); other RNA	GFP-BRC1	brc1 k.o.	27.8451	4.89251	-2.50877	0.000421383
AT2G47780.1			Rubber elongation factor protein (REF)	GFP-BRC1	brc1 k.o.	3.58743	0.631578	-2.50592	0.000421383
AT1G55950.1			DNA-binding storekeeper protein-related transcriptional regulator	GFP-BRC1	brc1 k.o.	2.11784	0.37292	-2.50565	0.00275982
AT3G33528.1				GFP-BRC1	brc1 k.o.	0.68795	0.121792	-2.49789	0.0434321
AT4G27657.1				GFP-BRC1	brc1 k.o.	13.837	2.457	-2.49357	0.000421383
AT1G77450.1	anac032	NAC domain containing protein 32	NAC domain containing protein 32	GFP-BRC1	brc1 k.o.	147.984	26.3254	-2.49091	0.000421383
AT2G28140.1			Protein of unknown function (DUF1635)	GFP-BRC1	brc1 k.o.	22.7833	4.07302	-2.48381	0.000421383
AT1G07473.1				GFP-BRC1	brc1 k.o.	0.959527	0.172304	-2.47737	0.0212483
AT1G01060.1	LHY	LATE ELONGATED HYPOCOTYL	Homeodomain-like superfamily protein	GFP-BRC1	brc1 k.o.	0.9574056	0.1740054	-2.459998166	0.000421383
AT4G30830.1			Protein of unknown function, DUF593	GFP-BRC1	brc1 k.o.	4.43778	0.830174	-2.41835	0.000421383
AT5G59670.1			Leucine-rich repeat protein kinase family protein	GFP-BRC1	brc1 k.o.	1.18374	0.222969	-2.40843	0.000421383
AT3G60010.1	ASK13	SKP1-like 13	SKP1-like 13	GFP-BRC1	brc1 k.o.	7.12249	1.35456	-2.39456	0.000421383
AT1G01380.1	ETC1	ENHANCER OF TRY AND CPC 1	Homeodomain-like superfamily protein	GFP-BRC1	brc1 k.o.	19.6755	3.76037	-2.38745	0.000421383
AT1G44010.1				GFP-BRC1	brc1 k.o.	2.94617	0.565438	-2.3814	0.000421383
AT5G59220.1	HAI1	highly ABA-induced PP2C gene 1	highly ABA-induced PP2C gene 1	GFP-BRC1	brc1 k.o.	7.52089	1.45675	-2.36815	0.000421383
AT5G03210.1	AtDIP2			GFP-BRC1	brc1 k.o.	6.7819	1.33606	-2.3437	0.000421383
AT1G14490.1			Predicted AT-hook DNA-binding family protein	GFP-BRC1	brc1 k.o.	7.62817	1.50698	-2.33967	0.000421383
AT4G25470.1	ATCBF2		C-repeat/DRE binding factor 2	GFP-BRC1	brc1 k.o.	4.89039	0.966681	-2.33884	0.000421383
AT5G60220.1	TET4	tetraspanin4	tetraspanin4	GFP-BRC1	brc1 k.o.	1.34756	0.273742	-2.29947	0.000421383
AT3G03900.1	APK3	adenosine-5'-phosphosulfate (APS) kinase 3	adenosine-5'-phosphosulfate (APS) kinase 3	GFP-BRC1	brc1 k.o.	52.4301	10.6579	-2.29847	0.000421383
AT2G35700.1	ATERF38	ERF FAMILY PROTEIN 38	ERF family protein 38	GFP-BRC1	brc1 k.o.	14.2804	2.9131	-2.29341	0.000421383
AT4G28530.2	anac074	NAC domain containing protein 74	NAC domain containing protein 74	GFP-BRC1	brc1 k.o.	1.55016	0.3186405	-2.282415577	0.000421383
AT4G27810.1				GFP-BRC1	brc1 k.o.	2.61029	0.537649	-2.27947	0.000421383
AT1G19490.1			Basic-leucine zipper (bZIP) transcription factor family protein	GFP-BRC1	brc1 k.o.	7.68125	1.59616	-2.26674	0.000421383
AT1G71770.2	PAB5	poly(A)-binding protein 5	poly(A)-binding protein 5	GFP-BRC1	brc1 k.o.	0.461532	0.0966596	-2.25545	0.025809
AT4G40010.1	SNRK2-7	SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-7	SNF1-related protein kinase 2.7	GFP-BRC1	brc1 k.o.	17.0517	3.57481	-2.25397	0.000421383
AT5G23730.1	EFO2	EARLY FLOWERING BY OVEREXPRESSION 2	Transducin/WD40 repeat-like superfamily protein	GFP-BRC1	brc1 k.o.	15.7449	3.30905	-2.25039	0.000421383
AT1G68360.1			C2H2 and C2HC zinc fingers superfamily protein	GFP-BRC1	brc1 k.o.	11.0322	2.32054	-2.24918	0.000421383
AT2G41290.1	SSL2	strictosidine synthase-like 2	strictosidine synthase-like 2	GFP-BRC1	brc1 k.o.	11.5723	2.50308	-2.20889	0.000421383
AT1G75580.1			SAUR-like auxin-responsive protein family 	GFP-BRC1	brc1 k.o.	22.2321	4.82656	-2.20358	0.000421383
AT5G23460.1				GFP-BRC1	brc1 k.o.	18.7227	4.09558	-2.19264	0.000421383
AT5G07780.1	AtFH19		Actin-binding FH2 (formin homology 2) family protein	GFP-BRC1	brc1 k.o.	3.58759	0.784855	-2.19252	0.000421383
AT1G69480.1			EXS (ERD1/XPR1/SYG1) family protein	GFP-BRC1	brc1 k.o.	2.49423	0.550537	-2.17968	0.000421383
AT1G35910.1	TPPD	trehalose-6-phosphate phosphatase D	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	GFP-BRC1	brc1 k.o.	3.04764	0.680154	-2.16376	0.000421383
AT3G59220.1	ATPIRIN1		pirin	GFP-BRC1	brc1 k.o.	98.4844	22.2559	-2.14571	0.000421383
AT3G42658.1	SADHU3-2	sadhu non-coding retrotransposon 3-2	transposable element gene	GFP-BRC1	brc1 k.o.	6.3511	1.48141	-2.10004	0.000421383
AT3G48240.1			Octicosapeptide/Phox/Bem1p family protein	GFP-BRC1	brc1 k.o.	1.27115	0.299517	-2.08542	0.000421383
AT1G09950.1	RAS1	RESPONSE TO ABA AND SALT 1	RESPONSE TO ABA AND SALT 1	GFP-BRC1	brc1 k.o.	3.81392	0.898959	-2.08495	0.000421383
AT4G19230.2	CYP707A1	cytochrome P450, family 707, subfamily A, polypeptide 1	cytochrome P450, family 707, subfamily A, polypeptide 1	GFP-BRC1	brc1 k.o.	19.2766	4.556715	-2.080784567	0.000421383
AT5G41030.1			TCP family transcription factor 	GFP-BRC1	brc1 k.o.	0.906539	0.215095	-2.0754	0.0392379
AT1G32560.1	AtLEA4-1	Late Embryogenesis Abundant 4-1	Late embryogenesis abundant protein, group 1 protein	GFP-BRC1	brc1 k.o.	1.91012	0.453567	-2.07428	0.00364449
AT5G44260.1	AtTZF5		Zinc finger C-x8-C-x5-C-x3-H type family protein	GFP-BRC1	brc1 k.o.	17.9908	4.28561	-2.06969	0.000421383
AT3G02800.1	AtPFA-DSP3		Tyrosine phosphatase family protein	GFP-BRC1	brc1 k.o.	11.7673	2.82147	-2.06026	0.000421383
AT4G16442.1			Uncharacterised protein family (UPF0497)	GFP-BRC1	brc1 k.o.	73.0526	17.5401	-2.05828	0.000421383
AT1G17345.1			SAUR-like auxin-responsive protein family 	GFP-BRC1	brc1 k.o.	6.14076	1.47839	-2.05439	0.000421383
AT3G24780.1			Uncharacterised conserved protein UCP015417,  vWA	GFP-BRC1	brc1 k.o.	1.54217	0.371484	-2.05358	0.000421383
AT1G43590.1			transposable element gene	GFP-BRC1	brc1 k.o.	5.72001	1.38698	-2.04407	0.000421383
AT1G62570.1	FMO GS-OX4	flavin-monooxygenase glucosinolate S-oxygenase 4	flavin-monooxygenase glucosinolate S-oxygenase 4	GFP-BRC1	brc1 k.o.	96.8025	23.5466	-2.03952	0.000421383
AT3G58000.1			VQ motif-containing protein	GFP-BRC1	brc1 k.o.	7.40037	1.81211	-2.02993	0.000421383
AT3G08700.1	UBC12	ubiquitin-conjugating enzyme 12	ubiquitin-conjugating enzyme 12	GFP-BRC1	brc1 k.o.	4.46355	1.09792	-2.02341	0.000421383
AT1G65870.1			Disease resistance-responsive (dirigent-like protein) family protein	GFP-BRC1	brc1 k.o.	1.94911	0.479636	-2.0228	0.00364449
AT3G28740.1	CYP81D11	cytochrome P450, family 81, subfamily D, polypeptide 11	Cytochrome P450 superfamily protein	GFP-BRC1	brc1 k.o.	113.885	28.2401	-2.01175	0.000421383
AT4G34650.1	SQS2	squalene synthase 2	squalene synthase 2	GFP-BRC1	brc1 k.o.	13.1482	3.27365	-2.0059	0.000421383
AT1G53170.1	ATERF-8		ethylene response factor 8	GFP-BRC1	brc1 k.o.	29.0604	7.25783	-2.00144	0.000421383
AT5G39520.1			Protein of unknown function (DUF1997)	GFP-BRC1	brc1 k.o.	0.777139	0.194138	-2.00109	0.0124794
AT3G07390.1	AIR12	Auxin-Induced in Root cultures 12	auxin-responsive family protein	GFP-BRC1	brc1 k.o.	174.803	43.9236	-1.99266	0.000421383
AT1G05100.1	MAPKKK18	mitogen-activated protein kinase kinase kinase 18	mitogen-activated protein kinase kinase kinase 18	GFP-BRC1	brc1 k.o.	1.7921	0.452523	-1.98559	0.000421383
AT3G29575.1	AFP3	ABI five binding protein 3	ABI five binding protein 3	GFP-BRC1	brc1 k.o.	12.27053333	3.099326667	-1.985171229	0.000421383
AT5G15840.1	BBX1	B-box domain protein 1	B-box type zinc finger protein with CCT domain	GFP-BRC1	brc1 k.o.	3.747795	0.951843	-1.977246506	0.000421383
AT3G29156.1			transposable element gene	GFP-BRC1	brc1 k.o.	0.837796	0.213101	-1.97506	0.000421383
AT1G61120.1	GES	GERANYLLINALOOL SYNTHASE	terpene synthase 04	GFP-BRC1	brc1 k.o.	0.509905	0.12992	-1.9726	0.00393875
AT3G09910.2	ATRAB18C		RAB GTPase homolog C2B	GFP-BRC1	brc1 k.o.	2.845196667	0.733587333	-1.955487745	0.000421383
AT1G68500.1				GFP-BRC1	brc1 k.o.	72.0417	18.9213	-1.92882	0.000421383
AT3G61450.2	ATSYP73		syntaxin of plants 73	GFP-BRC1	brc1 k.o.	0.634418	0.166992	-1.92565	0.0115135
AT4G08590.1	ORL1	ORTH-LIKE 1	ORTHRUS-like	GFP-BRC1	brc1 k.o.	7.46796	1.96701	-1.924709908	0.000421383
AT3G27025.1				GFP-BRC1	brc1 k.o.	1.13107	0.298559	-1.9216	0.00115255
AT5G25990.1				GFP-BRC1	brc1 k.o.	62.0397	16.3823	-1.92105	0.021912
AT4G33905.1			Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein	GFP-BRC1	brc1 k.o.	4.84155	1.2813	-1.91786	0.000421383
AT4G34000.3	ABF3	abscisic acid responsive elements-binding factor 3	abscisic acid responsive elements-binding factor 3	GFP-BRC1	brc1 k.o.	18.94033333	5.01702	-1.916559127	0.000421383
AT1G44150.1				GFP-BRC1	brc1 k.o.	1.87684	0.498176	-1.91358	0.0351402
AT3G62690.1	ATL5	AtL5	AtL5	GFP-BRC1	brc1 k.o.	14.4703	3.86749	-1.90363	0.000421383
AT5G63350.1				GFP-BRC1	brc1 k.o.	1.22367	0.327799	-1.90032	0.000421383
AT4G21940.1	CPK15	calcium-dependent protein kinase 15	calcium-dependent protein kinase 15	GFP-BRC1	brc1 k.o.	2.584465	0.69828	-1.887988108	0.000421383
AT1G68440.1				GFP-BRC1	brc1 k.o.	109.07	29.6466	-1.87931	0.000421383
AT3G14440.1	ATNCED3		nine-cis-epoxycarotenoid dioxygenase 3	GFP-BRC1	brc1 k.o.	4.45145	1.21593	-1.87222	0.000421383
AT1G73880.1	UGT89B1	UDP-glucosyl transferase 89B1	UDP-glucosyl transferase 89B1	GFP-BRC1	brc1 k.o.	21.0577	5.79193	-1.86224	0.000421383
AT5G10140.4	AGL25	AGAMOUS-like 25	K-box region and MADS-box transcription factor family protein 	GFP-BRC1	brc1 k.o.	0.733601	0.204254	-1.84463	0.0381417
AT1G72490.1				GFP-BRC1	brc1 k.o.	5.92849	1.65155	-1.84385	0.000421383
AT1G20450.2	ERD10	EARLY RESPONSIVE TO DEHYDRATION 10	Dehydrin family protein	GFP-BRC1	brc1 k.o.	280.1845	78.2277	-1.840625694	0.000421383
AT4G20920.1			double-stranded RNA-binding domain (DsRBD)-containing protein	GFP-BRC1	brc1 k.o.	1.11079	0.310473	-1.83905	0.00245852
AT1G30040.2	ATGA2OX2	gibberellin 2-oxidase	gibberellin 2-oxidase	GFP-BRC1	brc1 k.o.	9.289885	2.62069	-1.825714029	0.000421383
AT3G12920.1	BRG3	BOI-related gene 3	SBP (S-ribonuclease binding protein) family protein	GFP-BRC1	brc1 k.o.	64.8289	18.3818	-1.81836	0.000421383
AT5G02490.1	AtHsp70-2		Heat shock protein 70 (Hsp 70) family protein	GFP-BRC1	brc1 k.o.	188.103	53.3725	-1.81736	0.000421383
AT5G59662.1			other RNA	GFP-BRC1	brc1 k.o.	2.0341	0.57804	-1.81515	0.000421383
AT3G15534.1				GFP-BRC1	brc1 k.o.	9.89684	2.82747	-1.80746	0.0432326
AT5G23850.1			Arabidopsis thaliana protein of unknown function (DUF821)	GFP-BRC1	brc1 k.o.	17.4584	4.99573	-1.80515	0.000421383
AT2G30370.1	CHAL	CHALLAH	allergen-related	GFP-BRC1	brc1 k.o.	2.45402	0.7024895	-1.80459844	0.000421383
AT1G66230.1	AtMYB20	myb domain protein 20	myb domain protein 20	GFP-BRC1	brc1 k.o.	18.2201	5.24343	-1.79695	0.000421383
AT2G31180.1	ATMYB14	ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 14	myb domain protein 14	GFP-BRC1	brc1 k.o.	7.31847	2.10991	-1.79436	0.000421383
AT5G65070.1	AGL69	AGAMOUS-like 69	K-box region and MADS-box transcription factor family protein 	GFP-BRC1	brc1 k.o.	1.969712667	0.573211667	-1.780845312	0.0148185
AT5G15450.1	APG6	ALBINO AND PALE GREEN 6	casein lytic proteinase B3	GFP-BRC1	brc1 k.o.	73.1147	21.2898	-1.78	0.000421383
AT1G69252.1			other RNA	GFP-BRC1	brc1 k.o.	36.6808	10.699605	-1.777467567	0.000421383
AT5G64260.1	EXL2	EXORDIUM like 2	EXORDIUM like 2	GFP-BRC1	brc1 k.o.	535.552	156.67	-1.7733	0.000421383
AT5G17490.1	AtRGL3		RGA-like protein 3	GFP-BRC1	brc1 k.o.	4.9922	1.46133	-1.77239	0.000421383
AT5G20110.1			Dynein light chain type 1 family protein	GFP-BRC1	brc1 k.o.	39.5619	11.6914	-1.75867	0.000421383
AT1G14520.1	MIOX1	myo-inositol oxygenase 1	myo-inositol oxygenase 1	GFP-BRC1	brc1 k.o.	24.6335	7.281435	-1.75832692	0.000421383
AT3G07350.1			Protein of unknown function (DUF506) 	GFP-BRC1	brc1 k.o.	18.2315	5.39392	-1.75702	0.000421383
AT2G38640.1			Protein of unknown function (DUF567)	GFP-BRC1	brc1 k.o.	43.2919	12.9006	-1.74666	0.000421383
AT4G18830.1	ATOFP5		ovate family protein 5	GFP-BRC1	brc1 k.o.	9.10206	2.71734	-1.744	0.000421383
AT2G45680.1	TCP9	TCP domain protein 9	TCP family transcription factor 	GFP-BRC1	brc1 k.o.	20.4479	6.1334	-1.7372	0.000421383
AT1G24270.1				GFP-BRC1	brc1 k.o.	10.7204	3.22601	-1.73253	0.000421383
AT2G47770.1	ATTSPO	TSPO(outer membrane tryptophan-rich sensory protein)-related	TSPO(outer membrane tryptophan-rich sensory protein)-related	GFP-BRC1	brc1 k.o.	2.88209	0.867681	-1.73188	0.000421383
AT5G18670.1	BAM9	BETA-AMYLASE 9	beta-amylase 3	GFP-BRC1	brc1 k.o.	30.4262	9.21031	-1.72399	0.000421383
AT3G13790.2	ATBFRUCT1		Glycosyl hydrolases family 32 protein	GFP-BRC1	brc1 k.o.	130.1165	39.533	-1.718674576	0.000421383
